varname,varlabel
_v46,Q2.15 ????????? ????? ??????????
_v47,"Q2.16 ??????, ???????? ??? ???????"
_v48,Q2.17 ?? ???????? ???????? ??????
_v49,Q2.18 ??????????? ??????/???????
_v50,Q2.19 ??????? ?????? ???????? ???
_v51,"Q2.20 ??????????, ??? ????? ????? "
_v52,Q2.21 ????? ?? ????? ????? ???? ??
_v53,Q2.22 ???????? ?????? ?? ???? ????
_v54,Q2.23 ????? ?? ???? ?????? ????? ?
_v55,Q2.24 ?????? ???????????? ??????
_v56,Q2.25 ???? ???? ??????????? ???? ?
_v57,Q2.26 ??????? ????????????? ????
_v58,"Q2.27 ?? ???? ???? ?????????, ????"
_v59,"Q2.28 ?? ????? ???????, ???? ???, ??"
_v60,Q2.29 ?????????? ?????? ????????
_v61,Q2.30 ?????????? ???? ????????? ?
_v62,Q2.31 ???????????? ??? ?????????
_v63,Q2.32 ????????? ????????? ??????
_v64,"Q2.33 ??????? ???????? ????????, ?"
_v65,"Q2.34 ??????? ???? ????????????, ?"
_v66,Q2.35 ??? ??????????? ?????? ????
_v67,Q2.36 ?? ???? ????????? ?? ???????
_v68,Q2.37 ????????? ??????????? ????
_v69,Q2.38 ?? ???? ?????????? ????????
_v70,Q2.39 ????????? ??????????? ????
_v71,"Q2.40 ???????????, ????. ?????????"
_v72,"Q2.41 ??????? ?????? ????????, ???"
_v73,Q2.42 ??????? ?????? ?????? ?????
_v74,Q3.1 ?????? ??????? ?????????? ?
_v75,"Q3.2 ???? ????? ????????????, ???"
_v76,Q3.3 ?????????????? ????????? ??
_v77,Q3.4 ???? ???? ????? ?????? ?????
_v78,Q3.5 ???????? ???? ?????? ??????
_v79,Q3.6. ??? ?????????????? ???????
_v80,Q3.7. ??????? ??? ??????? ???????
_v81,Q3.8. ???????????? ????????? ???
_v82,Q3.9. ????????? ???? ??????? ????
_v83,Q3.10 ??????????? ???? ??????? ??
_v84,"Q3.11 ????? ?????????? ????, ?????"
_v85,"Q3.12 ????? ?????????? ????, ?????"
_v86,Q4.1 ????????? ??????? ?????????
_v87,Q4.2 ??????? ????????? ?????????
_v88,Q4.3 ??????? ?? ??? ?????? ??????
_v89,Q4.3.1. ??????? ???? ??? ?????????
_v90,Q4.3.2. ??????? ?????? ?????? ????
_v91,Q4.4 ??? ??? ???? ?????? ????????
_v92,Q4.5 ?????? ???? ?????? ????????
_v93,Q4.6 ?????? ???? ?????? ????????
_v94,Q4.7 ?????????? ??????? ????????
_v95,Q4.7.1 ???????????? ?????? ????? ?
_v96,Q4.8 ????? ???????? ?????? ?????
_v97,Q4.8.1 ???????????? ?????? ????? ?
_v98,Q4.9 ????????/ ?????????? ??????
_v99,Q4.10 ?????? ????????
_v100,Q4.11 ???????? ?????
_v101,Q4.12 ?????? ????????
_v102,Q4.13 ????????/ ???????? ????????
_v103,Q4.14 ??????? ?????????
_v104,Q4.15 ?????????????? ???????
_v105,Q4.16 ??????? / ????????? ?????
_v106,Q4.9 ????????/ ?????????? ??????
_v107,Q4.10 ?????? ????????
_v108,Q4.11 ???????? ?????
_v109,Q4.12 ?????? ????????
_v110,Q4.13 ????????/ ???????? ????????
_v111,Q4.14 ??????? ?????????
_v112,Q4.15 ?????????????? ???????
_v113,Q4.16 ??????? / ????????? ?????
_v114,Q4.17 ??? ??????? ??????? ?????? ?
_v115,Q4.18 ???????? ????????? ???? ???
_v116,Q4.19 ???????? ?????????? ??????
_v117,Q4.20 ????? ?????????? ?????????
_v118,Q5.1 ???????????/?????????? (???
_v119,Q5.2 ???????? ?????? ???????????
_v120,Q5.2 ???????? ?????? ???????????
_v121,"Q5.2.1 ?? ?? ?????? ??????????, ???"
_v122,Q5.3 ?????????????? ???????????
_v123,"Q5.3.1 ?? ?????? ??????????????, ?"
_v124,Q5.4 ????????? ?????????/?????? 
_v125,"Q5.4.1 ?? ?????? ?????????, ??? ?? ?"
_v126,Q5.5 ?????????? ??????? ?????? ?
_v127,"Q5.5.1 ?? ?????? ??????????, ??? ??"
_v128,Q5.6 ???????????? ??????????? ??
_v129,Q5.6.1 ?? ?? ?????? ???????????? ?
_v130,Q5.7 ?? ???????????????? ???????
_v131,"Q5.7.1 ?? ?? ?????? ???????????, ??"
_v132,"Q5.8 ???????????? ????? ???, ??? ?"
_v133,"Q5.8.1 ?? ?? ?????? ????????????, ?"
_v134,Q5.9 ????????????? ?? ??????????
_v135,"Q5.9.1 ?? ?? ?????? ?????????????,"
_v136,Q5.10 ????????????? ?????????/??
_v137,"Q5.10.1 ?? ?? ?????? ????????????, ?"
_v138,Q5.11 ????????? ???? ???????????
_v139,Q5.11.1 ?? ?? ?????? ?????????????
_v140,"Q5.12 ??????? ????, ??????? ??????"
_v141,"Q5.12.1 ?? ?? ?????? ??????? ????, ?"
_v142,Q5.13 ?????????? ??????????????/
_v143,"Q5.13.1 ?? ?? ?????? ??????????, ???"
_v144,"Q5.14 ??????? ?????, ?????????, ??"
_v145,"Q5.14.1 ?? ?? ?????? ??????? ?????, "
_v146,Q5.15 ?????????? ???? ?????  ?? ??
_v147,Q5.15.1 ?? ?? ?????? ?????????? ???
_v148,Q5.16 ?????????????  ?????????/??
_v149,Q5.16.1 ?? ?? ?????? ?????????????
_v150,Q5.17 ?????????????  ?????????? ?
_v151,Q5.17.1 ?? ?? ?????? ?????????????
_v152,Q5.18  ???????????? ???? ????????
_v153,Q5.18.1 ?? ?? ?????? ???????????? ?
_v154,Q5.19 ???????????? ???? ????????
_v155,Q5.19.1 ?? ?? ?????? ??????????? ??
_v156,"Q5.20 ?????????? ???????? ?????, ?"
_v157,Q5.20.1 ?? ?????????? ???????? ???
_v158,Q5.21 ???? ???????? ??? ?? ???????
_v159,Q5.22 ??? ?? ?????? ??????? ??????
_v160,Q5.23 ???????? ??????????? ?????
_v161,"Q5.24 ??? ?? ?????? ??????, ??????"
_v162,QQ5.25 ???????? ?? ??? ?????? ????
_v163,QQ5.25.1 ???????? ?? ??? ?????? ????
_v164,QQ5.25.2 ???????? ?? ??? ?????? ????
_v165,"Q5.26 ??????????, ???  ???? ??????"
_v166,Q6.1 ?????????? ?? ??? ?????? ???
_v167,Q6.2 ???????? ?? ??? ???????????
_v168,Q6.2.1 ?????????? ????????? ?????
_v169,Q6.3 ??? ?????? ?????????/??????
_v170,Q6.1 ?????????? ?? ??? ?????? ???
_v171,Q6.2 ???????? ?? ??? ???????????
_v172,Q6.2.1 ?????????? ????????? ?????
_v173,Q6.3 ??? ?????? ?????????/??????
_v174,Q6.4 ???? ?????????????? ??? ???
_v175,Q6.4.1 ???? ?????????????? ??? ???
_v176,Q7.1 ????? ???????? ?????? ?????
_v177,Q7.2 ????? ????? ???????? ??????
_v178,Q7.3 ???? 12 ???? ???????????? ???
_v179,Q7.4 ???? 12 ???? ???????????? ???
_v180,Q7.5 ???? 12 ???? ???????????? ???
_v181,Q7.6 ??????? ????????/??????????
_v182,Q7.7 ?????? ????????? ??????? ??
_v183,"Q7.8 ???? ???????, ???????????, ??"
_v184,Q7.9 ?????? ?????????????? ?????
_v185,"Q7.10 ???????? ?? ?????????, ?????"
_v186,Q8.1 ?????????? ??????????? ????
_v187,Q8.2 ?????????? ??????????? ????
_v188,Q8.3 ?????? ?????????? ?????????
_v189,Q8.4 ????????? ???????
_v190,Q8.5 ???????? ?????
_v191,Q8.6 ???????? ??????????
_v192,Q8.7 ???????? ???????? ?? ??????
_v193,Q8.8 ???????? ????? ?? ?????? ??-?
_v194,Q8.9 ????????? ??????? ???????
_v195,Q8.10 ????????????  ??????? ?????
_v196,Q8.11 ??? ????????? ??????? ?????
_v197,Q8.12 ??? ????????? ??????? ?????
_v198,"Q8.13 ????? 18 ???? ??????????, ????"
_v199,"Q8.14 ????? 18 ?. ??????????, ????? ?"
_v200,"Q8.15 ????? 18 ?. ??????????, ??????"
_v201,"Q8.16 ????? 18 ???? ??????????, ????"
_v202,"Q8.17 ????? 18 ???? ??????????, ????"
_v203,"Q8.18 ????? 18 ???? ??????????, ????"
_v204,"Q8.19 ????? 18 ???? ??????????, ????"
_v205,"Q8.20 ????? 18 ???? ??????????, ????"
_v206,"Q8.21 ??????? ????????? ??????, ??"
_v207,Q9.1 ?????  ?? ??? ????(??)??
_v208,Q9.1.1 ??????? ????? ??????
_v209,Q9.2 ????? ?? ??? ?????????? ????
_v210,Q9.3 ??? ?? ??????????????????? 
_v211,Q9.4 ??? ?? ??????? ????????? ?? ?
_v212,Q9.5 ??????? ???? (??????) ???????
_v213,Q9.6 ??????? ??? ????????????
_v214,Q9.6 ??????? ??? ??? ???????????
_v215,Q9.7 ??????????? ?? ??? ?? ??????
_v216,"Q9.8 ??? ?????? ?????, ??????????"
_v217,Q9.9 ?? ?????? ???? ???? ??????? ?
_v218,"Q9.10 ??????????? ???????, ?? ????"
_v219,Q9.11 ??????? ??????????? ??????
_v220,"Q9.12 ???????? ?????? ???????, ???"
_v221,Q9.13 ??????? ????????? ?? ??????
_v222,Q9.14 ???????? ?????? ?? ????????
_v223,Q9.15 ??????? ??????? ?? ????????
_v224,Q9.16 ??????? ???????
_v225,Q9.17 ???????? ????? ?????????? ?
_v226,Q9.18 ??????????? ??????? ??????
_v227,Q9.19 ??????? ??????? ???????
_v228,Q9.20 ??????? ????????
_v229,Q9.21 ??????? ??????????? ??????
_v230,"Q9.22 ???????? ?????? ???????, ???"
_v231,Q9.23 ??????? ????????? ?? ??????
_v232,Q9.24 ???????? ?????? ?? ????????
_v233,Q9.25 ??????????? ????????? (????
_v234,Q9.26 ??????? ??????? ?? ????
_v235,Q9.27 ??????? ??????? ?? ????????
_v236,Q9.28 ??????? ???????
_v237,Q9.29 ???????? ????? ?????????? ?
_v238,Q9.30 ??????????? ??????? ??????
_v239,"Q9.31 ?????? ?????, ??????? ??????"
_v240,"Q10.1 ???????? ?? ??? ??????, ????"
_v241,"Q10.2 ??????????? ?? ??? ??????, ?"
_v242,Q10.3 ???????? ?? ??? ???????????
_v243,Q10.4 ???????? ?? ??? ???????????
_v244,Q10.5 ????? ?? ??? ????.??????.???
_v245,"Q10.6 ????? ?? ??? ????? ???????, ?"
_v246,"Q10.7 ????? ?? ??? ????? ??????, ??"
_v247,"Q10.8 ?????? ?????, ??? ???????/??"
_v248,Q10.9 ????????? ?????
_v249,Q10.10 ????
_v250,Q10.11 ?????????????
_v251,"Q10.12 ????, ???????, ???? ??????? ?"
_v252,Q10.13 ?????? ???????
_v253,Q10.14 ???????????? ?? ??? ?????? 
_v254,Q10.15 ??????????? ?? ??? ??????? 
_v255,Q10.16 ????????? ?? ??? ?????? ???
_v256,Q10.17 ?????????? ???. ???????????
_v257,Q10.18 ???????????? ?? ??? ????? ?
_v258,Q10.19 ?????????? ?? ??? ???? ????
_v259,Q10.20 ???????????? ?????? ????/??
_v260,Q11.1 ?? ???????? ???? ?????? ?? ?
_v261,Q11.2 ??? ??? ????? ????? ????????
?????????,?????????
Qid,Qid
sub_id,sub_id
???????,???????
???????_1,???????
?_?,?_?
??????????????,??????????????
??????_????_????,??????_????_????
??????,??????
w_total,WEIGHT
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
