,varname,varlabel,q_no,question_bosnian,question_eng
72,q2_21,Q2-21. Prije nego li sam napunio 18... koliko često: Q2-21. Vidio sam ili čuo sa,Q2-21.,Prije nego li sam napunio 18... koliko često: Q2-21. Vidio sam ili čuo sa,Before I turned 18 ... how often: Q2-21. I saw or heard from
73,q2_22,Q2-22. Prije nego li sam napunio 18... koliko često: Q2-22. Neko me dirao po str,Q2-22.,Prije nego li sam napunio 18... koliko često: Q2-22. Neko me dirao po str,Before I turned 18 ... how often: Q2-22. Someone touched me on p
74,q2_23,Q2-23. Prije nego li sam napunio 18... koliko često: Q2-23. Neko u porodici me v,Q2-23.,Prije nego li sam napunio 18... koliko često: Q2-23. Neko u porodici me v,Before I turned 18 ... how often: Q2-23. Someone in my family c
75,q2_24,Q2-24. Prije nego li sam napunio 18... koliko često: Q2-24. Roditelji ili odrasl,Q2-24.,Prije nego li sam napunio 18... koliko često: Q2-24. Roditelji ili odrasl,Before I turned 18 ... how often: Q2-24. Parents or adults
76,q2_25,Q2-25. Prije nego li sam napunio 18... koliko često: Q2-25. Jedan ili oboje moji,Q2-25.,Prije nego li sam napunio 18... koliko često: Q2-25. Jedan ili oboje moji,Before I turned 18 ... how often: Q2-25. One or both of mine
77,q2_26,Q2-26. Prije nego li sam napunio 18... koliko često: Q2-26. Imao sam seksualne o,Q2-26.,Prije nego li sam napunio 18... koliko često: Q2-26. Imao sam seksualne o,Before I turned 18 ... how often: Q2-26. I had sexual o
78,q2_27,Q2-27. Prije nego li sam napunio 18... koliko često: Q2-27. U školi me učitelj/i,Q2-27.,Prije nego li sam napunio 18... koliko često: Q2-27. U školi me učitelj/i,Before I turned 18 ... how often: Q2-27. I am a teacher at school
79,q2_28,Q2-28. Prije nego li sam napunio 18... koliko često: Q2-28. Kod kuće su mi prije,Q2-28.,Prije nego li sam napunio 18... koliko često: Q2-28. Kod kuće su mi prije,Before I turned 18 ... how often: Q2-28. They've been home to me before
80,q2_29,"Q2-29. Je li bilo zadirkivanja, uznemiravanja, napada u školi ili susjedstvu u k",Q2-29.,"Je li bilo zadirkivanja, uznemiravanja, napada u školi ili susjedstvu u k","Whether there was teasing, harassment, assault at the school or neighborhood in k"
81,q2_30,Q2-30. Je li vas neko zadirkivao ili uznemiravao?,Q2-30.,Je li vas neko zadirkivao ili uznemiravao?,Has anyone teased or harassed you?
82,q2_31,Q2-31. Jeste li vi zadirkivali i uznemiravali druge?,Q2-31.,Jeste li vi zadirkivali i uznemiravali druge?,Did you tease and harass others?
83,q2_32,Q2-32. U mojoj školi se prema djevojkama / djevojčicama uglavnom odnosilo s pošt,Q2-32.,U mojoj školi se prema djevojkama / djevojčicama uglavnom odnosilo s pošt,"In my school, girls were mostly treated with mail"
84,q2_33,Q2-33. U školi su me kaznili jer sam bio fizički nasilan prema vršnjacima/kinjam,Q2-33.,U školi su me kaznili jer sam bio fizički nasilan prema vršnjacima/kinjam,I was punished at school because I was physically violent towards my peers
85,q2_34,Q2-34. Moji školski prijatelji i ja bismo dirali djevojke ili im dobacivali seks,Q2-34.,Moji školski prijatelji i ja bismo dirali djevojke ili im dobacivali seks,My school friends and I would touch girls or throw sex at them
86,q2_35,Q2-35. Ja i grupa mojih školskih prijatelja bi s djevojkama dogovorili seks nako,Q2-35.,Ja i grupa mojih školskih prijatelja bi s djevojkama dogovorili seks nako,Me and a group of my school friends would arrange sex with the girls after
87,q2_36,Q2-36. Ja i grupa mojih školskih prijatelja bi tukli druge suparničke grupe u šk,Q2-36.,Ja i grupa mojih školskih prijatelja bi tukli druge suparničke grupe u šk,I and a group of my school friends would beat other rival groups in the school
88,q2_37,Q2-37. Ja i grupa mojih školskih prijatelja bi se izmjenjivali u seksualnim odno,Q2-37.,Ja i grupa mojih školskih prijatelja bi se izmjenjivali u seksualnim odno,I and a group of my school friends would take turns in sexual relations
89,q2_38,Q2-38. Ja i grupa mojih školskih prijatelja smo bili članovi nekog sportskog klu,Q2-38.,Ja i grupa mojih školskih prijatelja smo bili članovi nekog sportskog klu,Me and a group of my school friends were members of a sports club
90,q2_39,Q2-39. Ja i moji prijatelji smo u školi uzimali droge.,Q2-39.,Ja i moji prijatelji smo u školi uzimali droge.,My friends and I took drugs at school.
91,q2_40,Q2-40. Moji školski prijatelji pomagali su mi da savladam probleme u životu ili ,Q2-40.,Moji školski prijatelji pomagali su mi da savladam probleme u životu ili ,My school friends helped me overcome problems in life or
92,q3_1,"Q3-1. Kada žene rade, oduzimaju posao muškarcima.",Q3-1.,"Kada žene rade, oduzimaju posao muškarcima.","When women work, they take away jobs from men."
93,q3_2,"Q3-2. Kada žene dobijaju prava, oduzimaju prava muškarcima.",Q3-2.,"Kada žene dobijaju prava, oduzimaju prava muškarcima.","When women get rights, they take away the rights of men."
94,q3_3,Q3-3. Prava za žene znači da muškarci gube.,Q3-3.,Prava za žene znači da muškarci gube.,Rights for women mean that men lose.
95,q3_4,"Q3-4. Kada je žena silovana, to obično znači da je učinila nešto neoprezno i dov",Q3-4.,"Kada je žena silovana, to obično znači da je učinila nešto neoprezno i dov","When a woman is raped, it usually means that she did something careless and dov"
96,q3_5,"Q3-5. U nekim slučajevima silovanja, žene su željele da se to dogodi.",Q3-5.,"U nekim slučajevima silovanja, žene su željele da se to dogodi.","In some rape cases, women wanted it to happen."
97,q3_6,"Q3-6. Ako se žena fizički ne opire, to se ne može nazvati silovanjem.",Q3-6.,"Ako se žena fizički ne opire, to se ne može nazvati silovanjem.","If a woman does not physically resist, it cannot be called rape."
98,q3_7,Q3-7. U svakom slučaju silovanja trebalo bi ispitati je li žrtva promiskuitetna ,Q3-7.,U svakom slučaju silovanja trebalo bi ispitati je li žrtva promiskuitetna ,"In any case of rape, it should be examined whether the victim is promiscuous"
99,q3_8,Q3-8. Najvažnija uloga žene je da se brine o kući i da kuha za svoju porodicu.,Q3-8.,Najvažnija uloga žene je da se brine o kući i da kuha za svoju porodicu.,The most important role of a woman is to take care of the house and to cook for her family.
100,q3_9,Q3-9. Muškarcima treba seks više nego ženama.,Q3-9.,Muškarcima treba seks više nego ženama.,Men need sex more than women.
101,q3_10,"Q3-10. Muškarci ne pričaju o seksu, oni to rade.",Q3-10.,"Muškarci ne pričaju o seksu, oni to rade.","Men don’t talk about sex, they do."
102,q3_11,Q3-11. Postoje situacije u kojima žena zaslužuje biti istučena.,Q3-11.,Postoje situacije u kojima žena zaslužuje biti istučena.,There are situations where a woman deserves to be beaten.
103,q3_12,"Q3-12. Mijenjanje pelena, kupanje djece, i hranjenje djece su dužnosti majke.",Q3-12.,"Mijenjanje pelena, kupanje djece, i hranjenje djece su dužnosti majke.","Changing diapers, bathing children, and feeding children are the duties of a mother."
104,q3_13,Q3-13. Žena bi trebala biti ona koja se brine da ne zatrudni.,Q3-13.,Žena bi trebala biti ona koja se brine da ne zatrudni.,A woman should be the one who takes care not to get pregnant.
105,q3_14,Q3-14. Muškarac bi trebao imati posljednju riječ o odlukama kod kuće.,Q3-14.,Muškarac bi trebao imati posljednju riječ o odlukama kod kuće.,A man should have the last word on decisions at home.
106,q3_15,Q3-15. Muškarci su uvijek spremni na seks.,Q3-15.,Muškarci su uvijek spremni na seks.,Men are always ready for sex.
107,q3_16,Q3-16. Žena bi trebala tolerisati nasilje kako bi održala porodicu na okupu.,Q3-16.,Žena bi trebala tolerisati nasilje kako bi održala porodicu na okupu.,A woman should tolerate violence in order to keep the family together.
108,q3_17,Q3-17. Bio bih bijesan-uvrijeđen da moja žena ili djevojka zatraži da koristim p,Q3-17.,Bio bih bijesan-uvrijeđen da moja žena ili djevojka zatraži da koristim p,I would be furious-offended if my wife or girlfriend asked me to use p
109,q3_18,Q3-18. Muškarac i žena bi trebali zajedno odlučiti koju vrstu kontracepcije će k,Q3-18.,Muškarac i žena bi trebali zajedno odlučiti koju vrstu kontracepcije će k,A man and a woman should decide together what type of contraception will k
110,q3_19,Q3-19. Nikada ne bih imao prijatelja-icu koji je homoseksualac-lezbejka.,Q3-19.,Nikada ne bih imao prijatelja-icu koji je homoseksualac-lezbejka.,I would never have a gay friend who is a gay lesbian.
111,q3_20,"Q3-20. Ako me neko uvrijedi, braniću svoj ugled i silom ako bude trebalo.",Q3-20.,"Ako me neko uvrijedi, braniću svoj ugled i silom ako bude trebalo.","If someone insults me, I will defend my reputation by force if necessary."
112,q3_21,Q3-21. Biti muškarac znači da moraš biti čvrst.,Q3-21.,Biti muškarac znači da moraš biti čvrst.,Being a man means you have to be strong.
113,q3_22,Q3-22. Muškarcima bi trebalo biti neprijatno ako nemaju erekciju za vrijeme seks,Q3-22.,Muškarcima bi trebalo biti neprijatno ako nemaju erekciju za vrijeme seks,Men should be uncomfortable if they do not have an erection during sex
114,q3_23,Q3-23. Ravnopravnost između muškaraca i žena je već predaleko otišla.,Q3-23.,Ravnopravnost između muškaraca i žena je već predaleko otišla.,Equality between men and women has already gone too far.
115,q3_24,Q3-24. Ravnopravnost između muškaraca i žena je već najvećim dijelom postignuta.,Q3-24.,Ravnopravnost između muškaraca i žena je već najvećim dijelom postignuta.,Equality between men and women has already been largely achieved.
116,q3_25,Q3-25. Jeste li vi za ili protiv kvota koje garantuju određeni udio žena u insti,Q3-25.,Jeste li vi za ili protiv kvota koje garantuju određeni udio žena u insti,Are you for or against the quotas that guarantee a certain share of women in the insti
117,q3_26,Q3-26. Jeste li vi za ili protiv takvog sistema kvota koji garantuje određeni ud,Q3-26.,Jeste li vi za ili protiv takvog sistema kvota koji garantuje određeni ud,Are you for or against such a quota system that guarantees a certain limb
118,q3_27,Q3-27. Jeste li vi za ili protiv kvota koje garantuju mjesta za žene na upravlja,Q3-27.,Jeste li vi za ili protiv kvota koje garantuju mjesta za žene na upravlja,Are you for or against the quotas that guarantee places for women to manage
119,q3_28,Q3-28. Jeste li vi za ili protiv takvih zakona koji promovišu jednake plate za m,Q3-28.,Jeste li vi za ili protiv takvih zakona koji promovišu jednake plate za m,Are you for or against such laws that promote equal pay for m
120,q4_1,Q4-1. Neprijatno mi je kada sam u društvu homoseksualnih muškaraca.,Q4-1.,Neprijatno mi je kada sam u društvu homoseksualnih muškaraca.,I feel uncomfortable when I am in the company of gay men.
121,q4_2,Q4-2. Homoseksualnost je prirodna i normalna.,Q4-2.,Homoseksualnost je prirodna i normalna.,Homosexuality is natural and normal.
122,q4_3,Q4-3. Homoseksualnim muškarcima ne bi smjelo biti dozvoljeno da rade s djecom.,Q4-3.,Homoseksualnim muškarcima ne bi smjelo biti dozvoljeno da rade s djecom.,Homosexual men should not be allowed to work with children.
123,q4_4,Q4-4. Homoseksualnim muškarcima ne bi smjelo biti dozvoljeno da usvajaju djecu.,Q4-4.,Homoseksualnim muškarcima ne bi smjelo biti dozvoljeno da usvajaju djecu.,Homosexual men should not be allowed to adopt children.
124,q4_5,Q4-5. Homoseksualnim parovima trebalo bi biti dozvoljeno da se vjenčaju jednako ,Q4-5.,Homoseksualnim parovima trebalo bi biti dozvoljeno da se vjenčaju jednako ,Homosexual couples should be allowed to marry equally
125,q4_6,Q4-6. Bilo bi me sram da imam sina koji je homoseksualac.,Q4-6.,Bilo bi me sram da imam sina koji je homoseksualac.,I would be ashamed to have a son who is gay.
126,q4_7,Q4-7. Kada mi se neprestano “nabacuje” ili flertuje sa mnom. (u kojoj od naveden,Q4-7.,Kada mi se neprestano “nabacuje” ili flertuje sa mnom. (u kojoj od naveden,"When he constantly ""pushes"" me or flirts with me. (in which of the above"
127,q4_8,Q4-8. Kad neprestano bulji u mene. (u kojoj od navedenih situacija bi bilo oprav,Q4-8.,Kad neprestano bulji u mene. (u kojoj od navedenih situacija bi bilo oprav,When he is constantly staring at me. (in which of the following situations would be correct
128,q4_9,Q4-9. Kada se ljubi s drugim muškarcem u javnosti. (u kojoj od navedenih situaci,Q4-9.,Kada se ljubi s drugim muškarcem u javnosti. (u kojoj od navedenih situaci,When she kisses another man in public. (in which of the following situations
129,q4_10,Q4-10. Kada se ponaša ženskasto. (u kojoj od navedenih situacija bi bilo opravda,Q4-10.,Kada se ponaša ženskasto. (u kojoj od navedenih situacija bi bilo opravda,When she behaves femininely. (in which of the following situations would be justified
130,q5_1,Q5-1. Imate li stalnu partnerku/partnera? (pod partnerkom/partnerom smatramo dje,Q5-1.,Imate li stalnu partnerku/partnera? (pod partnerkom/partnerom smatramo dje,Do you have a permanent partner? (by partner we mean children
131,q5_2,Q5-2. Koliko godina ima ona/on?,Q5-2.,Koliko godina ima ona/on?,How old is he / she?
132,q5_3,Q5-3. Živi li vaša partnerka/partner s vama?,Q5-3.,Živi li vaša partnerka/partner s vama?,Does your partner live with you?
133,q5_4_1,živite s partnerkom-om godina:,živite,s partnerkom-om godina:,with partner years:
134,q5_4_2,živite s partnerkom-om mjeseci:,živite,s partnerkom-om mjeseci:,with partner months:
135,q5_5,Q5-5. Jeste li vi i vaša partnerka/partner istog nivoa obrazovanja?,Q5-5.,Jeste li vi i vaša partnerka/partner istog nivoa obrazovanja?,Are you and your partner at the same level of education?
136,q5_6,Q5-6. Koji je radni status vaše partnerke/partnera?,Q5-6.,Koji je radni status vaše partnerke/partnera?,What is the employment status of your partner?
137,q5_7,Q5-7. Zarađujete li vi i ona (ili on) istu količinu novca?,Q5-7.,Zarađujete li vi i ona (ili on) istu količinu novca?,Do you and she (or he) make the same amount of money?
138,q5_8,Q5-8. Ko ima posljednju riječ u donošenju odluka... Hranu i odjeću,Q5-8.,Ko ima posljednju riječ u donošenju odluka... Hranu i odjeću,Who has the last word in making decisions ... Food and clothes
139,q5_9,Q5-9. Ko ima posljednju riječ u donošenju odluka... Velike investicije kao što s,Q5-9.,Ko ima posljednju riječ u donošenju odluka... Velike investicije kao što s,Who has the last word in decision making ... Big investments like s
140,q5_10,Q5-10. Ko u vašoj obitelji obično ima zadnju riječ što se tiče provođenja vremen,Q5-10.,Ko u vašoj obitelji obično ima zadnju riječ što se tiče provođenja vremen,Who in your family usually has the last word when it comes to spending time
141,q5_11_1,Q5-11.: Pomoć od našeg djeteta-djece.,Q5-11.:,Pomoć od našeg djeteta-djece.,Help from our child-children.
142,q5_11_2,"Q5-11.: Plaćena pomoć (čistačica, dadilja, itd.).",Q5-11.:,"Plaćena pomoć (čistačica, dadilja, itd.).","Paid help (cleaner, nanny, etc.)."
143,q5_11_3,"Q5-11.: Pomoć od drugih (porodica, rodbina)",Q5-11.:,"Pomoć od drugih (porodica, rodbina)","Help from others (family, relatives)"
144,q5_11_4,Q5-11.: Nemamo pomoć,Q5-11.:,Nemamo pomoć,We have no help
145,q5_12,Q5-12. kako vi i vaša partnerka/partner dijelite sljedeće poslove: Pranje odjeće,Q5-12.,kako vi i vaša partnerka/partner dijelite sljedeće poslove: Pranje odjeće,how you and your partner share the following tasks: Washing clothes
146,q5_13,Q5-13. kako vi i vaša partnerka/partner dijelite sljedeće poslove: Popravke u ku,Q5-13.,kako vi i vaša partnerka/partner dijelite sljedeće poslove: Popravke u ku,how you and your partner share the following tasks: Repairs in the house
147,q5_14,Q5-14. kako vi i vaša partnerka/partner dijelite sljedeće poslove: Kupovanje hra,Q5-14.,kako vi i vaša partnerka/partner dijelite sljedeće poslove: Kupovanje hra,how you and your partner share the following tasks: Buying food
148,q5_15,Q5-15. kako vi i vaša partnerka/partner dijelite sljedeće poslove: Čišćenje kuće,Q5-15.,kako vi i vaša partnerka/partner dijelite sljedeće poslove: Čišćenje kuće,how you and your partner share the following tasks: Cleaning the house
149,q5_16,Q5-16. kako vi i vaša partnerka/partner dijelite sljedeće poslove: Pripremanje h,Q5-16.,kako vi i vaša partnerka/partner dijelite sljedeće poslove: Pripremanje h,how you and your partner share the following tasks: Preparing h
150,q5_17,Q5-17. kako vi i vaša partnerka/partner dijelite sljedeće poslove: Plaćanje raču,Q5-17.,kako vi i vaša partnerka/partner dijelite sljedeće poslove: Plaćanje raču,how you and your partner share the following tasks: Paying bills
151,q5_18,Q5-18. Šta mislite o gore navedenoj podjeli poslova?,Q5-18.,Šta mislite o gore navedenoj podjeli poslova?,What do you think about the above division of labor?
152,q5_19,Q5-19. Jeste li zadovoljni ovakvom podjelom?,Q5-19.,Jeste li zadovoljni ovakvom podjelom?,Are you happy with this division?
153,q5_20,Q5-20. Mislite li da je vaša partnerka/partner zadovoljna/zadovoljan takvom podj,Q5-20.,Mislite li da je vaša partnerka/partner zadovoljna/zadovoljan takvom podj,Do you think that your partner is satisfied with such a business?
154,q5_21,Q5-21. Koliko je jasna podjela posla izmedju partnera u vašem domaćinstvu?,Q5-21.,Koliko je jasna podjela posla izmedju partnera u vašem domaćinstvu?,How clear is the division of labor between the partners in your household?
